booking_id,guest_name,city,room_type,nights,price_per_night,rating
B001,John,Chennai,Suite,3,4500,4.8
B002,Alice,Mumbai,Deluxe,2,3000,4.5
B003,David,Bangalore,Standard,1,1800,4.0
B004,Sarah,Chennai,Suite,4,5000,4.9
B005,Ahmed,Hyderabad,Deluxe,2,3200,4.4
B006,Priya,Coimbatore,Standard,3,2200,4.2
B007,Rahul,Delhi,Suite,5,5500,4.9
B008,Meena,Kochi,Deluxe,2,3100,4.3
B009,Arun,Chennai,Standard,1,1700,3.9
B010,Fatima,Madurai,Suite,3,4700,4.7
B011,Kiran,Salem,Deluxe,2,2900,4.1
B012,Anjali,Trichy,Standard,2,2000,4.0
B013,John,Chennai,Suite,4,4800,4.8
B014,Nisha,Tenkasi,Deluxe,3,3300,4.5
B015,Imran,Mumbai,Standard,1,1900,3.8
B016,Ravi,Erode,Suite,2,4600,4.6
B017,Sneha,Kanyakumari,Deluxe,3,3400,4.4
B018,Akash,Chennai,Standard,2,2100,4.1
B019,Aisha,Tirunelveli,Suite,5,5200,4.9
B020,Vijay,Coimbatore,Deluxe,4,3500,4.6
